duration,amplitude_max,dominant_frequency,spectral_centroid,zero_crossing_rate,file_name,duration_seconds,label
16.7,0.3879481,952.814371257485,3382.7447168288227,0.1818488226996527,IMG_9212.wav,16.7,long
6.330022675736961,0.04968188,72.1956339511524,2417.2411597947053,0.0984038747710622,IMG_0218 2.wav,6.330022675736961,short
5.930022675736962,0.23653656,866.9444083299555,3396.526864042391,0.1859970092773437,IMG_9213.wav,5.930022675736962,short
18.87002267573696,0.49403432,962.4259764855174,3101.0029037525173,0.1743218115774907,IMG_9207.wav,18.87002267573696,long
4.24,0.20193341,107.78301886792453,1962.917636788464,0.0919729764344262,IMG_6861.wav,4.24,short
6.910022675736961,0.14639965,44.138784243203865,2125.053744738876,0.0913053166946308,IMG_6875.wav,6.910022675736961,short
13.96,0.17528549,348.8538681948424,2768.0293621425244,0.1116663530419435,IMG_6685.wav,13.96,long
15.370022675736962,0.31029812,757.6436447541964,2627.129427670073,0.12367455980929,IMG_0119 2.wav,15.370022675736962,long
11.24,0.033614226,61.743772241992886,2593.825552109666,0.1076252416237113,IMG_0004 2.wav,11.24,medium
13.77002267573696,0.1051953,303.1222314074083,2497.7032777412132,0.1040376091645622,IMG_0041 2.wav,13.77002267573696,long
6.9,0.31611738,860.1449275362319,2911.9411134727898,0.1827269688548657,IMG_9159.wav,6.9,short
18.64,0.16619578,872.6394849785408,2836.858062201291,0.1727177868150685,IMG_9165.wav,18.64,long
5.7,0.28984198,1079.298245614035,2934.583567038392,0.1869085048272357,IMG_9171.wav,5.7,short
6.74,0.3048193,97.6261127596439,2510.9237897656835,0.0981999033505154,IMG_6295.wav,6.74,short
